0x00100000;0xCAFEC0B7;lui x1,0xFFFCAFEC;x1=0xCAFEC000
0x00100004;0xABE08093;addi x1,x1,0xFFFFFABE;x1=0xCAFEBABE
0x00100008;0x00101663;bne x0,x1,0xC;taken=true;pc=0x00100014
0x00100014;0xCAFEC137;lui x2,0xFFFCAFEC;x2=0xCAFEC000
0x00100018;0xABE10113;addi x2,x2,0xFFFFFABE;x2=0xCAFEBABE
0x0010001C;0x00111A63;bne x2,x1,0x14;taken=false
0x00100020;0x10000FB7;lui x31,0x10000;x31=0x10000000
0x00100024;0xDEADCF37;lui x30,0xFFFDEADC;x30=0xDEADC000
0x00100028;0xEEFF0F13;addi x30,x30,0xFFFFFEEF;x30=0xDEADBEEF
